Car_Name,count
toyota corolla,6
toyota corona,5
peugeot 504,4
subaru dl,4
mazda 626,3
honda civic,3
toyota mark ii,3
plymouth fury iii,2
nissan rogue,2
mazda rx-7 gs,2
mazda glc,2
mazda glc deluxe,2
mazda rx-4,2
mitsubishi outlander,2
mitsubishi g4,2
isuzu D-Max ,2
mitsubishi mirage g4,2
toyota corolla 1200,2
audi 100ls,2
volvo 145e (sw),2
honda accord,2
nissan latio,2
saab 99le,2
subaru,2
bmw 320i,2
volkswagen dasher,2
honda civic cvcc,2
subaru trezia,1
subaru r2,1
subaru r1,1
subaru baja,1
subaru tribeca,1
toyota corona hardtop,1
toyota corolla 1600 (sw),1
subaru brz,1
saab 99gle,1
saab 99e,1
toyota corona mark ii,1
toyota carina,1
alfa-romero giulia,1
renault 12tl,1
toyota corolla liftback,1
volvo 246,1
volvo 245,1
volvo 244dl,1
volvo 144ea,1
volkswagen rabbit custom,1
volkswagen rabbit,1
vw rabbit,1
vw dasher,1
volkswagen super beetle,1
volkswagen 411 (sw),1
volkswagen type 3,1
volkswagen model 111,1
volkswagen 1131 deluxe sedan,1
vokswagen rabbit,1
toyota celica gt,1
toyota cressida,1
toyota tercel,1
toyota starlet,1
toyota corona liftback,1
toyota corolla tercel,1
toyota celica gt liftback,1
renault 5 gtl,1
nissan clipper,1
plymouth valiant,1
isuzu MU-X,1
honda prelude,1
honda civic 1300,1
honda civic 1500 gl,1
honda accord lx,1
honda accord cvcc,1
dodge dart custom,1
dodge coronet custom,1
dodge colt (sw),1
dodge colt hardtop,1
dodge monaco (sw),1
dodge d200,1
dodge challenger se,1
dodge rampage,1
chevrolet vega 2300,1
chevrolet monte carlo,1
chevrolet impala,1
audi 5000,1
audi fox,1
audi 100 ls,1
honda civic (auto),1
isuzu D-Max V-Cross,1
plymouth fury gran sedan,1
maxda rx3,1
plymouth satellite custom (sw),1
plymouth cricket,1
peugeot 504 (sw),1
nissan nv200,1
alfa-romero stelvio,1
nissan note,1
nissan juke,1
nissan leaf,1
nissan titan,1
nissan gt-r,1
Nissan versa,1
mitsubishi pajero,1
mitsubishi montero,1
mitsubishi lancer,1
mitsubishi mirage,1
mazda glc custom,1
mazda glc custom l,1
mazda rx2 coupe,1
maxda glc deluxe,1
volvo 264gl,1
