Car_ID,Symboling,Car_Name,aspiration,Number of Doors,Car_Body,Drive_Wheel,Engine_Location,Wheel_Base,Car_Length,Car_Width,Car_Height,Curb_Weight,Engine_Type,Cylinder_Number,Engine_Size,Fuel_System,Bore_Ratio,Stroke,Compression_Ratio,Horsepower,Peak_RPM,City_Mileage,Highway_L/100km,Price,Horsepower_Binned,Engine_Size_Binned,City_L/100km_Binned,Fuel_Type(diesel),Fuel_Type(gas)
1,3,alfa-romero giulia,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.200476190476191,8.711481481481481,13495.0,Low,Small,Medium,0,1
2,3,alfa-romero stelvio,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.200476190476191,8.711481481481481,16500.0,Low,Small,Medium,0,1
3,1,alfa-romero Quadrifoglio,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,12.379473684210527,9.046538461538463,16500.0,Medium,Medium,Medium,0,1
4,2,audi 100 ls,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,9.800416666666667,7.840333333333334,13950.0,Low,Small,Medium,0,1
5,2,audi 100ls,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,13.067222222222222,10.691363636363636,17450.0,Low,Small,Medium,0,1
6,2,audi fox,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.379473684210527,9.4084,15250.0,Low,Small,Medium,0,1
7,1,audi 100ls,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.379473684210527,9.4084,17710.0,Low,Small,Medium,0,1
8,1,audi 5000,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,12.379473684210527,9.4084,18920.0,Low,Small,Medium,0,1
9,1,audi 4000,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,13.835882352941177,11.7605,23875.0,Medium,Small,High,0,1
10,0,audi 5000s (diesel),turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,14.700625,10.691363636363636,17859.167,Medium,Small,High,0,1
11,2,bmw 320i,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.226521739130435,8.110689655172415,16430.0,Low,Small,Medium,0,1
12,0,bmw 320i,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,10.226521739130435,8.110689655172415,16925.0,Low,Small,Medium,0,1
13,0,bmw x1,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.200476190476191,8.400357142857143,20970.0,Low,Medium,Medium,0,1
14,0,bmw x3,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.200476190476191,8.400357142857143,21105.0,Low,Medium,Medium,0,1
15,1,bmw z4,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.7605,9.4084,24565.0,Low,Medium,Medium,0,1
16,0,bmw x4,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.700625,10.691363636363636,30760.0,Medium,Medium,High,0,1
17,0,bmw x5,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.700625,10.691363636363636,41315.0,Medium,Medium,High,0,1
18,0,bmw x3,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15.680666666666667,11.7605,36880.0,Medium,Medium,High,0,1
19,2,chevrolet impala,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5.004468085106383,4.437924528301887,5151.0,Low,Small,Low,0,1
20,1,chevrolet monte carlo,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.189736842105264,5.47,6295.0,Low,Small,Low,0,1
21,0,chevrolet vega 2300,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.189736842105264,5.47,6575.0,Low,Small,Low,0,1
22,1,dodge rampage,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.357027027027027,5.736829268292683,5572.0,Low,Small,Low,0,1
23,1,dodge challenger se,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,6377.0,Low,Small,Low,0,1
24,1,dodge d200,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.800416666666667,7.840333333333334,7957.0,Low,Small,Medium,0,1
25,1,dodge monaco (sw),std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,6229.0,Low,Small,Low,0,1
26,1,dodge colt hardtop,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,6692.0,Low,Small,Low,0,1
27,1,dodge colt (sw),std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.58741935483871,6.189736842105264,7609.0,Low,Small,Low,0,1
