,Event,Date,Location,Disease,Death toll (estimate),Ref.
0,1350 BC plague of Megiddo,1350 BC,"Megiddo, land of Canaan","Amarna letters EA 244, Biridiya, mayor of Megiddo complains to Amenhotep III of his area being ""consumed by death, plague and dust""",Unknown,[26]
1,Plague of Athens,430–426 BC,"Greece, Libya, Egypt, Ethiopia","Unknown, possibly typhus, typhoid fever or viral hemorrhagic fever","75,000–100,000",[27][28][29][30]
2,412 BC epidemic,412 BC,"Greece (Northern Greece, Roman Republic)","Unknown, possibly influenza",Unknown,[31]
3,Antonine Plague,165–180 (possibly up to 190),Roman Empire,"Unknown, possibly smallpox",5–10 million,[32][33]
4,Jian'an Plague,217,Han Dynasty,"Unknown, possibly typhoid fever or viral hemorrhagic fever",Unknown,[34][35]
5,Plague of Cyprian,249–262,Europe,"Unknown, possibly smallpox",310000,[36][37]
6,Plague of Justinian (beginning of first plague pandemic),541–549,Europe and West Asia,Bubonic plague,15–100 million,[8][38][39]
7,Roman Plague of 590 (part of first plague pandemic),590,"Rome, Byzantine Empire",Bubonic plague,Unknown,[40]
8,Plague of Sheroe (part of First plague pandemic),627–628,Bilad al-Sham,Bubonic plague,"25,000+",
9,Plague of Amwas (part of first plague pandemic),638–639,"Byzantine Empire, West Asia, Africa",Bubonic plague,"25,000+",[41]
10,Plague of 664 (part of first plague pandemic),664–689,British Isles,Bubonic plague,Unknown,[42]
11,Plague of 698–701 (part of first plague pandemic),698–701,"Byzantine Empire, West Asia, Syria, Mesopotamia",Bubonic plague,Unknown,[43]
12,735–737 Japanese smallpox epidemic,735–737,Japan,Smallpox,"2 million (approx. .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}1⁄3 of Japanese population)",[13][44]
13,Plague of 746–747 (part of first plague pandemic),746–747,"Byzantine Empire, West Asia, Africa",Bubonic plague,Unknown,[41]
14,Black Death (start of the second plague pandemic),1346–1353,Eurasia and North Africa,Bubonic plague Yersinia pestis bacterium,75–200 million (30–60% of European population),[45]
15,Sweating sickness (multiple outbreaks),1485–1551,Britain (England) and later continental Europe,"Unknown, possibly an unknown species of hantavirus","10,000+",[46]
16,1489 Spain typhus epidemic,1489,Spain,Typhus,17000,[47]
17,1510 influenza pandemic,1510,"Asia, North Africa, Europe",Influenza,"Unknown, around 1% of those infected",[48]
18,1520 Mexico smallpox epidemic,1519–1520,Mexico,Smallpox,5–8 million (40% of population),[10]
19,Cocoliztli epidemic of 1545–1548,1545–1548,Mexico,Possibly Salmonella enterica,5–15 million (80% of population),[49][50][51][52]
20,1557 influenza pandemic,1557–1559,"Asia, Africa, Europe, and Americas",Influenza,Unknown,
21,1561 Chile smallpox epidemic,1561–1562,Chile,Smallpox,Unknown (20–25% of native population),[53]
22,1563 London plague (part of the second plague pandemic),1563–1564,"London, England",Bubonic plague,"20,100+",[54]
23,Cocoliztli epidemic of 1576,1576–1580,Mexico,Possibly Salmonella enterica,2–2.5 million (50% of population),[49][50][51][52]
